timestamp,event,component,value
2025-09-19 12:12:18,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:12:18,WARNING,FlowRate_Sensor,Wasser fließt nicht trotz Pumpenbetrieb
2025-09-19 12:12:28,WARNING,EC_Sensor,231.86
2025-09-19 12:12:28,WARNING,PH_Sensor,1.17
2025-09-19 12:12:28,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:12:28,WARNING,FlowRate_Sensor,Wasser fließt nicht trotz Pumpenbetrieb
2025-09-19 12:12:38,WARNING,EC_Sensor,231.86
2025-09-19 12:12:38,WARNING,PH_Sensor,1.18
2025-09-19 12:12:38,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:12:38,WARNING,FlowRate_Sensor,Wasser fließt nicht trotz Pumpenbetrieb
2025-09-19 12:12:56,WARNING,EC_Sensor,231.0
2025-09-19 12:12:56,WARNING,PH_Sensor,1.17
2025-09-19 12:12:56,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:12:56,WARNING,FlowRate_Sensor,Wasser fließt nicht trotz Pumpenbetrieb
2025-09-19 12:13:05,WARNING,EC_Sensor,231.86
2025-09-19 12:13:05,WARNING,PH_Sensor,1.18
2025-09-19 12:13:05,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:13:05,WARNING,FlowRate_Sensor,Wasser fließt nicht trotz Pumpenbetrieb
2025-09-19 12:13:15,WARNING,EC_Sensor,231.86
2025-09-19 12:13:15,WARNING,PH_Sensor,1.18
2025-09-19 12:13:15,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:13:15,WARNING,FlowRate_Sensor,Wasser fließt nicht trotz Pumpenbetrieb
2025-09-19 12:13:46,WARNING,EC_Sensor,231.86
2025-09-19 12:13:46,WARNING,PH_Sensor,1.17
2025-09-19 12:13:46,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:13:46,WARNING,FlowRate_Sensor,Wasser fließt nicht trotz Pumpenbetrieb
2025-09-19 12:14:16,WARNING,EC_Sensor,231.0
2025-09-19 12:14:16,WARNING,PH_Sensor,1.18
2025-09-19 12:14:16,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:14:16,WARNING,FlowRate_Sensor,Wasser fließt nicht trotz Pumpenbetrieb
2025-09-19 12:14:19,WARNING,EC_Sensor,231.0
2025-09-19 12:14:19,WARNING,PH_Sensor,1.18
2025-09-19 12:14:19,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:14:19,WARNING,FlowRate_Sensor,Wasser fließt nicht trotz Pumpenbetrieb
2025-09-19 12:14:29,WARNING,EC_Sensor,232.73
2025-09-19 12:14:29,WARNING,PH_Sensor,1.18
2025-09-19 12:14:29,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:14:29,WARNING,FlowRate_Sensor,Wasser fließt nicht trotz Pumpenbetrieb
2025-09-19 12:14:38,WARNING,EC_Sensor,231.0
2025-09-19 12:14:38,WARNING,PH_Sensor,1.18
2025-09-19 12:14:38,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:14:38,WARNING,FlowRate_Sensor,Wasser fließt nicht trotz Pumpenbetrieb
2025-09-19 12:14:53,WARNING,EC_Sensor,232.73
2025-09-19 12:14:53,WARNING,PH_Sensor,1.17
2025-09-19 12:14:53,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:14:53,WARNING,FlowRate_Sensor,Wasser fließt nicht trotz Pumpenbetrieb
2025-09-19 12:15:06,WARNING,EC_Sensor,231.86
2025-09-19 12:15:06,WARNING,PH_Sensor,1.17
2025-09-19 12:15:06,WARNING,Ultrasonic_Sensor,0.0
2025-09-19 12:15:06,WARNING,FlowRate_Sensor,Wasser fließt nicht trotz Pumpenbetrieb
2025-09-19 12:15:15,WARNING,EC_Sensor,231.86
2025-09-19 12:15:15,WARNING,PH_Sensor,1.19
2025-09-19 12:15:15,WARNING,Ultrasonic_Sensor,0.0
